Species,Pollination
Pinus strobiformis,out 
Pinus sylvestris,out 
Pinus taeda,out 
Pinus virginiana,out 
Populus heterophylla,out 
Salix amygdaloides,out 
Salix bebbiana,out 
Salix caroliniana,out 
Sequoia sempervirens,out 
Tilia spp.,out 
Ulmus crassifolia,out 
Ulmus pumila,out 
Ulmus serotina,out 
Acer pseudoplatanus,out 
Abies amabilis,out 
Abies fraseri,out 
Abies procera,out 
Abies shastensis,out 
Acacia farnesiana,out 
Acer barbatum,out 
Acer leucoderme,out 
Acer saccharinum,out 
Alnus glutinosa,out 
Alnus rhombifolia,out 
Betula populifolia,out 
Betula spp.,out 
Calocedrus decurrens,out 
Catalpa bignonioides,out 
Catalpa speciosa,out 
Chamaecyparis lawsoniana,out 
Chamaecyparis nootkatensis,out 
Chamaecyparis thyoides,out 
Cladrastis kentukea,out 
Fraxinus caroliniana,out 
Fraxinus latifolia,out 
Fraxinus profunda,out 
Fraxinus quadrangulata,out 
Fraxinus texensis,out 
Fraxinus velutina,out 
Gordonia lasianthus,out 
Halesia carolina,out 
Halesia diptera,out 
Halesia spp.,out 
Larix laricina,out 
Larix spp.,out 
Liquidambar styraciflua,out 
Melaleuca quinquenervia,out 
Paulownia tomentosa,out 
Pinus aristata,out 
Pinus attenuata,out 
Pinus banksiana,out 
Pinus cembroides,out 
Pinus clausa,out 
Pinus discolor,out 
Pinus echinata,out 
Pinus edulis,out 
Pinus elliottii,out 
Pinus glabra,out 
Pinus lambertiana,out 
Pinus palustris,out 
Pinus remota,out 
Pinus sabiniana,out 
Pinus strobiformis,out 
Pinus sylvestris,out 
Pinus taeda,out 
Pinus virginiana,out 
Populus heterophylla,out 
Salix amygdaloides,out 
Salix bebbiana,out 
Salix caroliniana,out 
Sequoia sempervirens,out 
Tilia spp. ,out 
Ulmus crassifolia,out 
Ulmus pumila,out 
Ulmus serotina,out 
Tabebuia rosea,out 
Cotinus obovatus,out 
Cotinus obovatus,out 
Helianthus divaricatus,self
Ulex gallii,self
Ulex minor,out
Hornungia petraea,out
Erythranthe cardinalis,out
Mimulus lewisii,out
Cypripedium calcicola,out
Plantago coronopus,self
Ascophyllum nodosum,out
Fucus serratus,out
Prenanthes roanensis,out
Astragalus utahensis,out
Euterpe edulis,out
Erythranthe cardinalis,out
Ranunculusa ustro-oreganus,out
Sidalcea malviflora,out
Microseris laciniata,self
Cymodocea nodosa,out 
Austrocedrus chilensis,out 
Avicennia marina,out 
Saccorhiza polyschides,out 
Campanulastrum americanum,out 
Cypripedium,out 
Pelliciera rhizophorae,out 
Genista legionensis,out 
Saponaria bellidifolia,out 
Neotinea maculata,out 
Corrigiola litoralis,out 
Viola elatior,out 
Viola pumila,out 
Viola stagnina,out 
Pinus contorta ,out 
Picea sitchensis,out 
Pinus massoniana,out 
Tradescantia hirsuticaulis,out 
Juglans cinerea,out 
Grevillea repens,out 
Betula humilis,out 
Anthyllis montana,out 
Carex magellanica ,out 
Lychnis viscaria,out 
Lilium parryi,out 
Atriplex tatarica,out 
Froelichia floridana,out 
