Species,bodymass,brainsize
Pandion cristatus,1.415,0.00971768
Elanus axillaris,0.2605,0.00349132
Lophoictinia isura,0.5675,0.006734
Hamirostra melanosternon,1.3,0.0107226
Aviceda subcristata,0.3535,0.0048692
Haliaeetus leucogaster,3.35,0.01308468
Haliastur sphenurus,0.775,0.00684796
Haliastur indus,0.5835,0.0064232
Milvus migrans,0.587,0.00602952
Accipiter fasciatus,0.403,0.004662
Accipiter cirrocephalus,0.1825,0.00247604
Accipiter novaehollandiae,0.515,0.00491064
Circus approximans,0.74,0.00567728
Aquila audax,3.814,0.01682464
Hieraaetus morphnoides,0.815,0.00809116
Falco cenchroides,0.185,0.00324268
Falco berigora,0.5475,0.00646464
Falco longipennis,0.2485,0.0034706
Falco subniger,0.765,0.006734
Falco peregrinus,0.715,0.00641284
Grus antigone,5.75,0.02078216
Grus rubicunda,6.2,0.01832684
Porphyrio porphyrio,0.9945,0.0048692
Lewinia pectoralis,0.0875,0.00138824
Gallirallus philippensis,0.1815,0.00204092
Porzana pusilla,0.037,0.000777
Porzana fluminea,0.06,0.00106708
Amaurornis moluccana,0.1685,0.00220668
Tribonyx ventralis,0.39,0.00286972
Gallinula tenebrosa,0.528,0.00280756
Fulica atra,0.568,0.0029526
Ardeotis australis,5.5,0.0120694
Burhinus grallarius,0.695,0.00446516
Esacus magnirostris,1,0.0055426
Haematopus longirostris,0.596,0.004403
Recurvirostra novaehollandiae,0.33,0.00206164
Cladorhynchus leucocephalus,0.24,0.00166796
Pluvialis fulva,0.1475,0.00183372
Pluvialis squatarola,0.25,0.00265216
Charadrius ruficapillus,0.0405,0.00084952
Charadrius bicinctus,0.07,0.00114996
Charadrius mongolus,0.0635,0.00117068
Charadrius leschenaultii,0.0875,0.00130536
Charadrius australis,0.084,0.0011914
Elseyornis melanops,0.0325,0.00087024
Erythrogonys cinctus,0.0475,0.0010878
Vanellus tricolor,0.184,0.00247604
Vanellus miles,0.31,0.0029526
Pedionomus torquatus,0.0675,0.00079772
Irediparra gallinacea,0.108,0.00117068
Rostratula australis,0.1255,0.00147112
Gallinago hardwickii,0.19,0.00206164
Limosa lapponica,0.316,0.00286972
Numenius phaeopus,0.35,0.00324268
Numenius madagascariensis,0.9,0.0048692
Xenus cinereus,0.075,0.00106708
Actitis hypoleucos,0.048,0.00089096
Tringa brevipes,0.125,0.00138824
Tringa incana,0.11,0.00133644
Tringa nebularia,0.17,0.0020202
Tringa stagnatilis,0.07,0.0020202
Tringa glareola,0.055,0.00105672
Arenaria interpres,0.115,0.00107744
Calidris tenuirostris,0.155,0.00159544
Calidris canutus,0.12,0.00136752
Calidris alba,0.06,0.00104636
Calidris ruficollis,0.025,0.00068376
Calidris subminuta,0.025,0.00061124
