Species,bodymass,brainsize
Cyanolyca viridicyanea,0.1,0.0033
Cissilopha beecheii,0.195,0.0043
Cissilopha sanblasiana,0.11,0.003
Cissilopha melanocyanea,0.11,0.0033
Cyanocorax yncas,0.08,0.0024
Cyanocorax mystacalis,NA,0.0032
Cyanocorax affinis,0.21,0.0037
Cyanocorax chrysops,0.155,0.0027
Cyanocorax cayanus,0.175,0.0042
Cyanocorax violaceus,0.26,0.0047
Cyanocorax cyanomelas,0.22,0.0038
Cyanocorax caeruleus,0.27,0.0037
Psilorhinus morio,0.205,0.005
Calocitta formosa,0.21,0.0042
Cyanocitta stelleri,0.13,0.0034
Perisoreus infaustus,0.085,0.0027
Perisoreus canadensis,0.075,0.0024
Platylophus galericulatus,NA,0.0025
Crypsirina temia,NA,0.0018
Dendrocitta formosae,0.105,0.0024
Dendrocitta occipitalis,NA,0.0027
Urocissa caerulea,0.215,0.0046
Cissa chinensis,0.125,0.003
Manduca sexta,NA,9.14E-07
Macroglossum stellatarum,NA,4.77E-07
Deilephila elpenor,NA,3.98E-07
Myrmecia croslandi,2.61E-05,5.51E-07
Myrmecia croslandi,1.52E-05,5.15E-07
Myrmecia croslandi,2.36E-05,5.64E-07
Myrmecia croslandi,1.43E-05,4.40E-07
Myrmecia croslandi,1.72E-05,5.20E-07
Myrmecia croslandi,2.10E-05,5.33E-07
Myrmecia croslandi,2.49E-05,5.61E-07
Myrmecia gulosa,2.46E-05,8.45E-07
Myrmecia gulosa,7.36E-05,1.21E-06
Myrmecia gulosa,2.34E-05,8.50E-07
Myrmecia gulosa,7.02E-05,1.17E-06
Myrmecia gulosa,0.000110076,1.29E-06
Myrmecia gulosa,9.88E-05,1.37E-06
Myrmecia gulosa,1.99E-05,7.88E-07
Myrmecia gulosa,2.91E-05,8.44E-07
Myrmecia gulosa,5.51E-05,9.75E-07
Myrmecia gulosa,6.82E-05,1.10E-06
Myrmecia gulosa,4.12E-05,1.02E-06
Myrmecia gulosa,0.000109074,1.27E-06
Myrmecia gulosa,2.60E-05,8.74E-07
Myrmecia gulosa,8.90E-05,1.16E-06
Myrmecia gulosa,4.80E-05,9.21E-07
Myrmecia gulosa,8.09E-05,1.15E-06
Myrmecia gulosa,7.61E-05,1.12E-06
Myrmecia gulosa,2.60E-05,8.74E-07
Myrmecia gulosa,8.22E-05,1.12E-06
Myrmecia gulosa,3.68E-05,9.67E-07
Myrmecia nigrocincta,1.95E-05,5.68E-07
Myrmecia nigrocincta,1.62E-05,5.77E-07
Myrmecia nigrocincta,1.69E-05,6.13E-07
Myrmecia nigrocincta,1.96E-05,5.83E-07
Myrmecia nigrocincta,1.19E-05,5.11E-07
Myrmecia nigrocincta,1.56E-05,5.76E-07
Myrmecia tarsata,3.25E-05,7.12E-07
Myrmecia tarsata,9.37E-05,9.82E-07
Myrmecia tarsata,5.64E-05,9.27E-07
Myrmecia tarsata,9.40E-05,9.68E-07
Myrmecia tarsata,8.35E-05,9.90E-07
Myrmecia tarsata,3.84E-05,7.57E-07
Myrmecia tarsata,3.08E-05,7.81E-07
Myrmecia tarsata,7.69E-05,9.85E-07
Myrmecia tarsata,5.80E-05,8.38E-07
Myrmecia tarsata,7.13E-05,9.81E-07
Myrmecia tarsata,6.07E-05,9.21E-07
Myrmecia tarsata,8.59E-05,9.58E-07
Myrmecia tarsata,6.56E-05,9.71E-07
Myrmecia tarsata,4.09E-05,7.65E-07
Myrmecia tarsata,9.57E-05,1.02E-06
Myrmecia tarsata,3.58E-05,7.35E-07
Myrmecia midas,5.34E-05,1.03E-06
Myrmecia midas,0.00017698,1.59E-06
Myrmecia midas,0.00017355,1.69E-06
Myrmecia midas,5.66E-05,1.25E-06
Myrmecia midas,0.000106208,1.39E-06
Myrmecia midas,7.23E-05,1.13E-06
Myrmecia midas,4.20E-05,9.10E-07
Myrmecia midas,9.71E-05,1.40E-06
Myrmecia midas,0.000147656,1.57E-06
Myrmecia midas,4.17E-05,1.15E-06
Myrmecia midas,2.43E-05,8.65E-07
Myrmecia midas,2.22E-05,8.39E-07
Myrmecia midas,5.74E-05,1.44E-06
Myrmecia midas,6.69E-05,1.28E-06
Myrmecia midas,0.000100186,1.40E-06
Myrmecia midas,8.39E-05,1.27E-06
Myrmecia midas,0.000105375,1.38E-06
Myrmecia midas,7.28E-05,1.18E-06
Myrmecia midas,3.40E-05,8.76E-07
Myrmecia midas,4.63E-05,9.04E-07
Myrmecia midas,7.02E-05,1.10E-06
Myrmecia midas,8.91E-05,1.22E-06
Myrmecia midas,8.72E-05,1.28E-06
Myrmecia nigriceps,2.98E-05,8.02E-07
Myrmecia nigriceps,3.79E-05,7.74E-07
Myrmecia nigriceps,4.05E-05,8.45E-07
Myrmecia nigriceps,5.19E-05,8.50E-07
Myrmecia nigriceps,7.71E-05,1.12E-06
Myrmecia nigriceps,7.43E-05,1.13E-06
Myrmecia nigriceps,8.29E-05,1.07E-06
Myrmecia nigriceps,9.98E-05,1.23E-06
Myrmecia nigriceps,8.95E-05,1.10E-06
Myrmecia nigriceps,8.37E-05,1.11E-06
Myrmecia pyriformis,4.01E-05,9.74E-07
Myrmecia pyriformis,4.90E-05,1.06E-06
Myrmecia pyriformis,6.26E-05,1.20E-06
Myrmecia pyriformis,7.71E-05,1.24E-06
Myrmecia pyriformis,8.39E-05,1.30E-06
Myrmecia pyriformis,9.45E-05,1.35E-06
Myrmecia pyriformis,4.56E-05,9.50E-07
Myrmecia pyriformis,2.23E-05,6.07E-07
Myrmecia pyriformis,2.67E-05,7.45E-07
Myrmecia pyriformis,0.000119796,1.47E-06
Myrmecia pyriformis,0.000102054,1.37E-06
Myrmecia pyriformis,0.000127825,1.51E-06
Myrmecia pyriformis,0.000121093,1.53E-06
Myrmecia pyriformis,2.78E-05,7.82E-07
Myrmecia pyriformis,3.28E-05,8.40E-07
Myrmecia pyriformis,5.25E-05,1.08E-06
Myrmecia pyriformis,6.00E-05,1.09E-06
Myrmecia pyriformis,7.21E-05,1.23E-06
Angiopolybia pallens,NA,1.54E-07
Angiopolybia pallens,NA,1.38E-07
Miscocyttarus mastigophorus,NA,2.59E-07
Miscocyttarus mastigophorus,NA,2.61E-07
Polistes instabilis,NA,4.76E-07
Polistes instabilis,NA,5.44E-07
Schistocerca gregaria,NA,7.21E-07
Drosophila melanogaster,NA,4.33E-09
Agelaia xanthopus,NA,2.90E-07
Agelaia xanthopus,NA,2.57E-07
Agelaia xanthopus,NA,2.57E-07
Agelaia xanthopus,NA,3.23E-07
Agelaia xanthopus,NA,3.30E-07
Angiopolybia ischkai,NA,1.38E-07
Angiopolybia ischkai,NA,1.68E-07
Angiopolybia ischkai,NA,1.61E-07
Angiopolybia ischkai,NA,1.73E-07
Angiopolybia ischkai,NA,1.42E-07
Apoica pallens,NA,3.42E-07
Apoica pallens,NA,2.81E-07
Apoica pallens,NA,4.25E-07
Apoica pallens,NA,3.18E-07
Apoica pallens,NA,3.69E-07
Apoica pallens,NA,3.69E-07
Brachygastra smithii,NA,2.16E-07
Brachygastra smithii,NA,2.75E-07
Brachygastra smithii,NA,2.41E-07
Brachygastra smithii,NA,2.36E-07
Brachygastra smithii,NA,2.34E-07
Brachygastra smithii,NA,2.52E-07
Brachygastra smithii,NA,2.21E-07
Brachygastra smithii,NA,2.01E-07
Charterginus fulvus,NA,1.72E-07
Charterginus fulvus,NA,1.88E-07
Charterginus fulvus,NA,1.72E-07
Charterginus fulvus,NA,1.45E-07
Charterginus fulvus,NA,1.46E-07
Charterginus fulvus,NA,1.47E-07
Charterginus fulvus,NA,1.96E-07
Charterginus fulvus,NA,1.73E-07
Leipomeles dorsata,NA,7.60E-08
Leipomeles dorsata,NA,9.11E-08
Leipomeles dorsata,NA,9.04E-08
Leipomeles dorsata,NA,9.19E-08
Leipomeles dorsata,NA,8.97E-08
Leipomeles dorsata,NA,8.28E-08
Nectarinella championi,NA,1.24E-07
Nectarinella championi,NA,1.49E-07
Nectarinella championi,NA,1.01E-07
Nectarinella championi,NA,1.20E-07
Nectarinella championi,NA,1.23E-07
Nectarinella championi,NA,1.12E-07
Nectarinella championi,NA,1.20E-07
Nectarinella championi,NA,1.13E-07
Nectarinella championi,NA,1.00E-07
Nectarinella championi,NA,1.11E-07
Parachartergus smithii,NA,1.90E-07
Parachartergus smithii,NA,2.13E-07
Parachartergus smithii,NA,1.69E-07
Parachartergus smithii,NA,1.91E-07
Parachartergus smithii,NA,1.91E-07
Parachartergus smithii,NA,1.99E-07
Parachartergus smithii,NA,1.95E-07
Parachartergus smithii,NA,1.82E-07
Parachartergus smithii,NA,1.93E-07
Polybia aequatorialis,NA,1.92E-07
Polybia aequatorialis,NA,1.77E-07
Polybia aequatorialis,NA,1.82E-07
Polybia aequatorialis,NA,1.80E-07
Polybia aequatorialis,NA,1.90E-07
Polybia aequatorialis,NA,2.13E-07
Polybia aequatorialis,NA,2.16E-07
Polybia aequatorialis,NA,2.31E-07
Polybia aequatorialis,NA,2.06E-07
Polybia aequatorialis,NA,2.10E-07
Polybia aequatorialis,NA,2.06E-07
Polybia dimidiata,NA,2.67E-07
Polybia dimidiata,NA,3.14E-07
Polybia dimidiata,NA,3.06E-07
Polybia dimidiata,NA,4.44E-07
Polybia dimidiata,NA,4.08E-07
Polybia dimidiata,NA,4.07E-07
Polybia emaciata,NA,1.64E-07
Polybia emaciata,NA,1.69E-07
Polybia emaciata,NA,1.53E-07
Polybia emaciata,NA,1.62E-07
Polybia emaciata,NA,1.83E-07
Polybia emaciata,NA,1.82E-07
Polybia emaciata,NA,1.68E-07
Polybia emaciata,NA,1.80E-07
Polybia flavitincta,NA,4.22E-07
Polybia flavitincta,NA,3.79E-07
Polybia flavitincta,NA,4.39E-07
Polybia flavitincta,NA,3.82E-07
Polybia flavitincta,NA,4.19E-07
Polybia flavitincta,NA,3.73E-07
Polybia flavitincta,NA,3.56E-07
Polybia flavitincta,NA,4.10E-07
Polybia jurinei,NA,4.49E-07
Polybia jurinei,NA,3.92E-07
Polybia jurinei,NA,3.86E-07
Polybia jurinei,NA,4.43E-07
Polybia jurinei,NA,3.93E-07
Polybia jurinei,NA,3.48E-07
Polybia jurinei,NA,5.07E-07
Polybia jurinei,NA,4.15E-07
Polybia jurinei,NA,4.15E-07
Polybia plebeja,NA,1.52E-07
Polybia plebeja,NA,1.41E-07
Polybia plebeja,NA,1.53E-07
Polybia plebeja,NA,1.44E-07
Polybia plebeja,NA,1.41E-07
Polybia plebeja,NA,1.39E-07
Polybia plebeja,NA,1.50E-07
Polybia plebeja,NA,1.50E-07
Polybia plebeja,NA,1.65E-07
Polybia raui,NA,2.00E-07
Polybia raui,NA,1.57E-07
Polybia raui,NA,2.11E-07
Polybia raui,NA,2.40E-07
Polybia raui,NA,2.17E-07
Polybia raui,NA,2.26E-07
Polybia raui,NA,2.31E-07
Polybia raui,NA,2.68E-07
Polybia raui,NA,2.64E-07
Polybia raui,NA,2.73E-07
Polybia raui,NA,2.62E-07
Polybia raui,NA,2.49E-07
Polybia raui,NA,2.49E-07
Polybia rejecta,NA,2.86E-07
Polybia rejecta,NA,2.81E-07
Polybia rejecta,NA,2.52E-07
Polybia rejecta,NA,2.81E-07
Polybia rejecta,NA,2.93E-07
Polybia richardsi,NA,1.43E-07
Polybia richardsi,NA,1.45E-07
Polybia richardsi,NA,1.40E-07
Polybia richardsi,NA,2.22E-07
Polybia richardsi,NA,2.35E-07
Polybia richardsi,NA,2.31E-07
Polybia richardsi,NA,1.77E-07
Polybia richardsi,NA,1.78E-07
Polybia richardsi,NA,1.66E-07
Polybia richardsi,NA,1.63E-07
Polybia richardsi,NA,2.04E-07
Polybia richardsi,NA,1.85E-07
Polybia richardsi,NA,1.52E-07
Protopolybia exigua,NA,1.11E-07
Protopolybia exigua,NA,1.06E-07
Protopolybia exigua,NA,1.01E-07
Protopolybia exigua,NA,1.15E-07
Protopolybia exigua,NA,1.17E-07
Protopolybia exigua,NA,1.03E-07
Synoeca septentrionalis,NA,4.11E-07
Synoeca septentrionalis,NA,7.33E-07
Synoeca septentrionalis,NA,5.24E-07
Synoeca septentrionalis,NA,4.60E-07
Synoeca septentrionalis,NA,6.56E-07
Synoeca septentrionalis,NA,6.44E-07
Synoeca septentrionalis,NA,6.66E-07
Bombus impatiens,NA,3.20E-06
Bombus impatiens,NA,2.60E-06
Bombus impatiens,NA,7.29E-07
Bombus impatiens,NA,5.89E-07
Bombus impatiens,NA,8.81E-07
Bombus impatiens,NA,2.67E-06
Bombus impatiens,NA,2.42E-06
Bombus impatiens,NA,1.45E-06
Bombus impatiens,NA,2.12E-06
Bombus impatiens,NA,1.69E-06
Bombus impatiens,NA,7.46E-07
Bombus impatiens,NA,9.84E-07
Bombus impatiens,NA,9.70E-07
Bombus impatiens,NA,9.04E-07
Bombus impatiens,NA,1.06E-06
Bombus impatiens,NA,9.66E-07
Bombus impatiens,NA,1.97E-06
Bombus impatiens,NA,1.51E-06
Bombus impatiens,NA,8.70E-07
Bombus impatiens,NA,7.81E-07
Bombus impatiens,NA,8.16E-07
Bombus impatiens,NA,9.45E-07
Bombus impatiens,NA,1.14E-06
Bombus impatiens,NA,7.66E-07
Bombus impatiens,NA,1.82E-06
Bombus impatiens,NA,1.65E-06
Bombus impatiens,NA,1.09E-06
Bombus impatiens,NA,6.59E-07
Bombus impatiens,NA,1.14E-06
Bombus impatiens,NA,2.35E-07
Bombus impatiens,NA,1.01E-06
Bombus impatiens,NA,1.10E-06
Bombus impatiens,NA,9.36E-07
Bombus impatiens,NA,9.09E-07
Bombus impatiens,NA,6.26E-07
Bombus impatiens,NA,1.43E-06
Bombus impatiens,NA,1.31E-06
Bombus impatiens,NA,9.30E-07
Bombus impatiens,NA,7.69E-07
Bombus impatiens,NA,1.19E-06
Bombus impatiens,NA,7.60E-07
Bombus impatiens,NA,8.26E-07
Bombus impatiens,NA,1.11E-06
Bombus impatiens,NA,7.07E-07
Bombus impatiens,NA,1.07E-06
Bombus impatiens,NA,1.26E-06
Apis mellifera,NA,4.32E-07
Apis mellifera,NA,4.87E-07
Apis mellifera,NA,5.12E-07
Apis mellifera,NA,5.16E-07
Apis mellifera,NA,5.25E-07
Apis mellifera,NA,5.25E-07
Apis mellifera,NA,5.28E-07
Apis mellifera,NA,5.31E-07
Apis mellifera,NA,5.76E-07
Apis mellifera,NA,5.80E-07
Apis mellifera,NA,6.45E-07
Apis mellifera,NA,6.49E-07
Apis mellifera,NA,6.64E-07
Apis mellifera,NA,6.70E-07
Apis mellifera,NA,6.89E-07
Apis mellifera,NA,6.89E-07
Apis mellifera,NA,7.18E-07
Apis mellifera,NA,7.26E-07
Apis mellifera,NA,7.31E-07
Apis mellifera,NA,7.60E-07
Apis mellifera,NA,8.25E-07
Apis mellifera,NA,8.26E-07
Apis mellifera,NA,9.06E-07
Apis mellifera,NA,9.19E-07
Apis mellifera,NA,9.28E-07
Polistes fuscatus,NA,1.19E-06
Polistes fuscatus,NA,1.15E-06
Polistes fuscatus,NA,1.53E-06
Polistes fuscatus,NA,1.12E-06
Polistes fuscatus,NA,1.21E-06
Polistes fuscatus,NA,1.29E-06
Polistes fuscatus,NA,1.34E-06
Polistes fuscatus,NA,1.21E-06
Polistes fuscatus,NA,1.19E-06
Polistes fuscatus,NA,1.28E-06
Polistes fuscatus,NA,1.22E-06
Polistes fuscatus,NA,1.18E-06
Polistes fuscatus,NA,1.38E-06
Polistes fuscatus,NA,1.34E-06
Polistes fuscatus,NA,1.39E-06
Polistes fuscatus,NA,1.18E-06
Polistes fuscatus,NA,1.16E-06
Polistes fuscatus,NA,9.89E-07
Polistes fuscatus,NA,1.43E-06
Polistes fuscatus,NA,1.08E-06
Polistes fuscatus,NA,1.05E-06
Polistes fuscatus,NA,9.95E-07
Polistes flavus,NA,1.09E-06
Polistes flavus,NA,1.27E-06
Polistes flavus,NA,1.14E-06
Polistes flavus,NA,8.68E-07
Polistes flavus,NA,1.31E-06
Polistes flavus,NA,1.06E-06
Polistes flavus,NA,1.21E-06
Polistes flavus,NA,1.53E-06
Polistes flavus,NA,1.40E-06
Polistes flavus,NA,1.11E-06
Polistes flavus,NA,1.50E-06
Polistes flavus,NA,1.26E-06
Polistes flavus,NA,1.46E-06
Polistes flavus,NA,1.26E-06
Polistes flavus,NA,1.08E-06
Polistes flavus,NA,1.24E-06
Polistes flavus,NA,1.47E-06
Polistes flavus,NA,1.38E-06
Polistes flavus,NA,1.18E-06
Polistes dominulus,NA,8.19E-07
Polistes dominulus,NA,7.62E-07
Polistes dominulus,NA,1.15E-06
Polistes dominulus,NA,1.37E-06
Polistes dominulus,NA,1.01E-06
Polistes dominulus,NA,7.56E-07
Polistes dominulus,NA,9.03E-07
Polistes dominulus,NA,1.25E-06
Polistes dominulus,NA,1.38E-06
Polistes dominulus,NA,1.12E-06
Polistes dominulus,NA,8.42E-07
Polistes dominulus,NA,5.61E-07
Polistes dominulus,NA,9.95E-07
Polistes dominulus,NA,1.10E-06
Polistes dominulus,NA,8.15E-07
Polistes dominulus,NA,1.18E-06
Polistes dominulus,NA,1.21E-06
Polistes dominulus,NA,1.34E-06
Polistes dominulus,NA,9.24E-07
Polistes dominulus,NA,5.06E-07
Polistes dominulus,NA,1.24E-06
Polistes dominulus,NA,1.33E-06
Oecophylla smaragdina,NA,9.07E-08
Oecophylla smaragdina,NA,8.10E-08
Oecophylla smaragdina,NA,7.93E-08
Oecophylla smaragdina,NA,5.35E-08
Oecophylla smaragdina,NA,7.30E-08
Oecophylla smaragdina,NA,7.70E-08
Oecophylla smaragdina,NA,8.27E-08
Oecophylla smaragdina,NA,6.91E-08
Oecophylla smaragdina,NA,7.91E-08
Oecophylla smaragdina,NA,7.80E-08
Oecophylla smaragdina,NA,7.69E-08
Oecophylla smaragdina,NA,7.94E-08
Oecophylla smaragdina,NA,6.56E-08
Oecophylla smaragdina,NA,6.01E-08
Oecophylla smaragdina,NA,7.62E-08
Oecophylla smaragdina,NA,7.19E-08
Oecophylla smaragdina,NA,6.44E-08
Oecophylla smaragdina,NA,4.02E-08
Oecophylla smaragdina,NA,8.44E-08
Oecophylla smaragdina,NA,5.91E-08
Oecophylla smaragdina,NA,5.34E-08
Oecophylla smaragdina,NA,8.13E-08
Oecophylla smaragdina,NA,5.72E-08
Oecophylla smaragdina,NA,6.71E-08
Oecophylla smaragdina,NA,5.27E-08
Oecophylla smaragdina,NA,5.19E-08
Oecophylla smaragdina,NA,5.22E-08
Formica subsericea,NA,6.74E-08
Formica subsericea,NA,6.74E-08
Formica subsericea,NA,6.84E-08
Formica subsericea,NA,7.33E-08
Formica subsericea,NA,6.81E-08
Formica subsericea,NA,4.73E-08
Formica subsericea,NA,3.97E-08
Formica subsericea,NA,4.03E-08
Formica subsericea,NA,4.13E-08
Formica subsericea,NA,5.08E-08
Formica subsericea,NA,5.40E-08
Formica subsericea,NA,3.60E-08
Formica subsericea,NA,4.00E-08
Formica subsericea,NA,4.00E-08
Formica subsericea,NA,5.10E-08
Formica subsericea,NA,4.95E-08
Formica subsericea,NA,4.45E-08
Formica subsericea,NA,4.70E-08
Formica subsericea,NA,3.30E-08
Formica subsericea,NA,4.95E-08
Formica subsericea,NA,4.85E-08
Formica subsericea,NA,6.55E-08
Formica subsericea,NA,6.80E-08
Formica subsericea,NA,4.35E-08
Formica subsericea,NA,3.65E-08
Formica subsericea,NA,4.55E-08
Formica subsericea,NA,5.10E-08
Formica subsericea,NA,4.70E-08
Formica subsericea,NA,4.10E-08
Formica subsericea,NA,4.90E-08
Formica subsericea,NA,4.70E-08
Formica subsericea,NA,4.85E-08
Formica subsericea,NA,4.85E-08
Formica subsericea,NA,4.45E-08
Formica subsericea,NA,3.35E-08
Formica subsericea,NA,3.85E-08
Formica subsericea,NA,4.20E-08
Formica subsericea,NA,3.95E-08
Formica subsericea,NA,3.95E-08
Formica subsericea,NA,3.45E-08
Formica subsericea,NA,6.60E-08
Oecophylla smaragdina,NA,6.15E-08
Oecophylla smaragdina,NA,6.35E-08
Oecophylla smaragdina,NA,6.20E-08
Oecophylla smaragdina,NA,6.00E-08
Oecophylla smaragdina,NA,4.75E-08
Oecophylla smaragdina,NA,5.35E-08
Oecophylla smaragdina,NA,5.15E-08
Oecophylla smaragdina,NA,5.40E-08
Oecophylla smaragdina,NA,6.90E-08
Oecophylla smaragdina,NA,6.35E-08
Oecophylla smaragdina,NA,4.30E-08
Oecophylla smaragdina,NA,4.75E-08
Oecophylla smaragdina,NA,7.15E-08
Oecophylla smaragdina,NA,4.20E-08
Oecophylla smaragdina,NA,5.40E-08
Oecophylla smaragdina,NA,6.57E-08
Oecophylla smaragdina,NA,5.15E-08
Oecophylla smaragdina,NA,6.12E-08
Oecophylla smaragdina,NA,4.65E-08
Oecophylla smaragdina,NA,5.40E-08
Oecophylla smaragdina,NA,5.90E-08
Oecophylla smaragdina,NA,5.10E-08
Oecophylla smaragdina,NA,5.65E-08
Oecophylla smaragdina,NA,5.40E-08
Oecophylla smaragdina,NA,9.35E-08
Oecophylla smaragdina,NA,5.25E-08
Oecophylla smaragdina,NA,5.35E-08
Oecophylla smaragdina,NA,5.60E-08
Oecophylla smaragdina,NA,5.05E-08
Oecophylla smaragdina,NA,8.20E-08
Oecophylla smaragdina,NA,5.35E-08
Oecophylla smaragdina,NA,5.15E-08
Oecophylla smaragdina,NA,3.80E-08
Oecophylla smaragdina,NA,5.47E-08
Oecophylla smaragdina,NA,5.20E-08
Oecophylla smaragdina,NA,5.75E-08
Oecophylla smaragdina,NA,3.30E-08
Oecophylla smaragdina,NA,5.35E-08
Oecophylla smaragdina,NA,4.85E-08
Oecophylla smaragdina,NA,5.80E-08
Heliconius himera,NA,6.16E-07
Heliconius erato,NA,6.42E-07
Acrotrichis grandicollis,NA,1.95E-09
Nanosella sp.,NA,9.77E-11
Bombus impatiens,0.0002795,1.20E-06
Apis mellifera,8.40E-05,6.63E-07
Acromyrmex echinatior,1.15E-05,1.27E-07
Apterostigma sp.1,6.24E-07,4.20E-08
Apterostigma sp.2,7.37E-07,5.10E-08
Apterostigma sp.3,2.38E-06,8.20E-08
Atta colombica,2.50E-05,1.15E-07
Cyphomyrmex cornutus,3.90E-07,2.90E-08
Cyphomyrmex longiscapus,3.88E-07,2.80E-08
Cyphomyrmex muelleri,5.32E-07,3.30E-08
Cyphomyrmex sp.,4.10E-07,3.00E-08
Mycetophylax sp.,1.49E-06,4.70E-08
Mycocepurus smithii,3.20E-07,2.20E-08
Myrmicocrypta ednaella,3.20E-07,2.30E-08
Sericomyrmex sp.,1.32E-06,5.30E-08
Trachymyrmex coniktzi,9.01E-07,4.70E-08
Trachymyrmex coniktzi,1.24E-06,6.00E-08
Trachymyrmex sp.1,1.18E-06,5.00E-08
Trachymyrmex sp.2,2.26E-06,7.00E-08
Trachymyrmex zeteki,2.13E-06,6.40E-08
Cephalotes atratus,3.18E-05,4.17E-07
Cephalotes sp.,7.36E-06,1.40E-07
Cephalotes umbraculatus,7.98E-06,1.60E-07
Crematogaster sp.,7.95E-07,4.40E-08
Megalomyrmex sp.1,1.37E-07,1.00E-08
Megalomyrmex sp.2,1.19E-06,4.70E-08
Monomorium floricola,6.50E-08,6.00E-09
Monomorium trageri,1.01E-07,1.00E-08
Pheidole obscurithorax,5.54E-07,3.00E-08
Pheidole sp.1,9.30E-08,8.00E-09
Pheidole sp.2,2.34E-07,1.60E-08
Pheidole sp.3,6.90E-08,8.00E-09
Pheidole sp.4,1.02E-07,1.10E-08
Pheidole sp.5,2.54E-07,2.00E-08
Pheidole sp.6,1.22E-07,1.30E-08
Pheidole sp.7,1.03E-06,4.90E-08
Pheidole sp.8,1.16E-06,4.70E-08
Pheidole sp.9,5.29E-07,2.80E-08
Pogonomyrmex badius,2.19E-05,1.39E-07
Solenopsis sp.1,9.85E-08,1.00E-08
Solenopsis sp.2,4.73E-07,3.10E-08
Wasmannia aurpunctata,1.09E-07,7.00E-09
Ectatomma ruidum,1.05E-05,2.20E-07
Ectatomma tuberculatum,1.85E-05,3.87E-07
Gnamptogenys sp.1,5.76E-07,2.80E-08
Gnamptogenys sp.2,9.87E-06,2.44E-07
Azteca sp.1,7.17E-07,5.10E-08
Azteca sp.2,1.74E-06,7.20E-08
Dolichoderus sp.,4.58E-06,1.38E-07
Tapinoma melanocephalum,1.32E-07,1.10E-08
Brachymyrmex sp.1,4.40E-08,6.00E-09
Brachymyrmex sp.2,7.45E-08,6.00E-09
Camponotus sericeiventris,3.74E-05,4.40E-07
Camponotus sp.1,5.05E-06,1.84E-07
Camponotus sp.2,2.21E-05,2.95E-07
Camponotus sp.3,2.57E-05,3.04E-07
Paratrechina longicornis,3.42E-07,2.80E-08
Eciton burchellii,1.74E-05,2.02E-07
Nomamyrmex sp.,1.19E-05,2.04E-07
Odontomachus bauri,1.58E-05,2.12E-07
Odontomachus brunneus,6.19E-06,1.92E-07
Odontomachus hastatus,2.53E-05,4.30E-07
Pachycondyla apicalis,4.07E-05,6.59E-07
Pachycondyla obscuricornis,1.52E-05,3.97E-07
Pachycondyla sp.1,9.70E-06,1.90E-07
Pachycondyla sp.2,4.48E-06,1.55E-07
Pachycondyla sp.3,2.72E-06,7.50E-08
Pachycondyla villosa,4.64E-05,5.03E-07
Paraponera clavata,0.000168785,1.73E-06
Pseudomyrmex sp.1,2.89E-06,1.35E-07
Pseudomyrmex sp.2,4.99E-07,4.50E-08
Pseudomyrmex sp.3,5.23E-06,2.77E-07
Ephestia kuehniella,NA,4.87E-15
Mamestra brassicae,NA,7.67E-15
Cephalotes varians,NA,2.49E-08
Cephalotes varians,NA,2.73E-08
Cephalotes varians,NA,2.77E-08
Cephalotes varians,NA,2.80E-08
Cephalotes varians,NA,2.74E-08
Cephalotes varians,NA,2.77E-08
Cephalotes varians,NA,2.15E-08
Cephalotes varians,NA,2.32E-08
Cephalotes varians,NA,2.25E-08
Cephalotes varians,NA,2.97E-08
Cephalotes varians,NA,2.51E-08
Cephalotes varians,NA,2.67E-08
Cephalotes varians,NA,2.39E-08
Cephalotes varians,NA,2.16E-08
Cephalotes varians,NA,1.78E-08
Cephalotes varians,NA,3.63E-08
Cephalotes varians,NA,3.40E-08
Cephalotes varians,NA,2.63E-08
Cephalotes varians,NA,2.40E-08
Cephalotes varians,NA,2.66E-08
Cephalotes varians,NA,2.80E-08
Cephalotes varians,NA,2.48E-08
Cephalotes varians,NA,2.92E-08
Cephalotes varians,NA,2.52E-08
Cephalotes varians,NA,2.40E-08
Cephalotes varians,NA,2.60E-08
Cephalotes varians,NA,2.57E-08
Cephalotes varians,NA,1.82E-08
Cephalotes varians,NA,2.43E-08
Cephalotes varians,NA,2.45E-08
Cephalotes varians,NA,2.81E-08
Cephalotes varians,NA,2.85E-08
Cephalotes varians,NA,2.42E-08
Cephalotes varians,NA,3.44E-08
Cephalotes varians,NA,3.50E-08
Cephalotes varians,NA,1.74E-08
Cephalotes varians,NA,3.61E-08
Cephalotes varians,NA,2.50E-08
Cephalotes varians,NA,2.54E-08
Cephalotes varians,NA,2.49E-08
Cephalotes varians,NA,3.06E-08
Cephalotes varians,NA,3.60E-08
Cephalotes varians,NA,3.21E-08
Cephalotes varians,NA,3.28E-08
Cephalotes varians,NA,3.24E-08
Cephalotes varians,NA,3.03E-08
Cephalotes varians,NA,2.91E-08
Cephalotes varians,NA,2.85E-08
Cephalotes varians,NA,3.31E-08
Cephalotes varians,NA,3.19E-08
Cephalotes varians,NA,2.95E-08
Cephalotes varians,NA,2.57E-08
Cephalotes varians,NA,1.79E-08
Cephalotes varians,NA,2.89E-08
Cephalotes varians,NA,2.70E-08
Cephalotes varians,NA,2.99E-08
Cephalotes varians,NA,3.26E-08
Cephalotes varians,NA,3.07E-08
Cephalotes varians,NA,4.17E-08
Cephalotes varians,NA,2.81E-08
