Species,BodyMass,Longevity
Histrionicus histrionicus,626,14.6
Hydroprogne caspia,658,29.79166667
Hylocichla mustelina,48.2,8.9
Icteria virens,25.7,8.9
Icterus bullockii,34.3,8.9
Icterus cucullatus,24.4,6
Icterus galbula,36.4,11.6
Icterus parisorum,35.9,6.408333333
Icterus spurius,21.7,9.6
Ictinia mississippiensis,261.2,11.2
Ixobrychus exilis,80.9,NA
Ixoreus naevius,78.3,4.8
Junco hyemalis,18.8,10.75
Lagopus lagopus,432.8,8.583166667
Lanius borealis,71.1,NA
Lanius ludovicianus,46.2,12.5
Larus argentatus,866,33.4165
Larus californicus,588.1,28
Larus canus,368.1,27.91833333
Larus delawarensis,474.6,28.58333333
Larus marinus,1660,25.74983333
Leucophaeus pipixcan,265.6,9.4
Limnothlypis swainsonii,14.8,7.8
Limosa fedoa,368.3,8.6
Lophodytes cucullatus,629.1,14.5
Loxia curvirostra,32,8
Loxia leucoptera,24.8,4
Mareca americana,633.4,NA
Mareca strepera,830.3,NA
Megaceryle alcyon,143.8,NA
Megascops asio,156.3,NA
Megascops kennicottii,146.6,13.5
Melanerpes aurifrons,94,5.7
Melanerpes carolinus,76.4,12.1
Melanerpes erythrocephalus,71.4,9.916666667
Melanerpes formicivorus,77,16
Melanerpes lewis,103.1,NA
Melanerpes uropygialis,66,8.75
Melanitta perspicillata,923.8,9.5
Meleagris gallopavo,3943.8,12.75
Melospiza georgiana,17.4,5.416666667
Melospiza lincolnii,16.6,7.6
Melospiza melodia,20.6,11.15
Melozone crissalis,46.8,12.8
Melozone fusca,1305.1,12.8
Mergus merganser,1334,14.83333333
Mergus serrator,938.8,21.33333333
Mimus polyglottos,50,20
Mniotilta varia,10.3,11.3
Molothrus aeneus,64.1,6
Molothrus ater,39.4,16.9
Myadestes townsendi,33.5,NA
Mycteria americana,2110,27
Myiarchus cinerascens,28.4,9
Myiarchus crinitus,35.3,13.9
Myiarchus tyrannulus,47.3,9.9
Nucifraga columbiana,133.2,17.4
Numenius americanus,706.9,10
Nyctanassa violacea,672.1,NA
