Species,BodyMass,Longevity
Molothrus oryzivorus,156,NA
Anas platyrhynchos,1121,29.1
Buteo brachyurus,495,NA
Myioborus pictus,9.78,6.6
Anas strepera,850,28
Rallus crepitans,NA,NA
Stercorarius longicaudus,298,22
Corvus brachyrhynchos,453,20
Ammodramus leconteii,13.4,4.08
Setophaga magnolia,8.6,8
Pluvialis squatarola,224,25.58
Porphyrio martinicus,236,7.33
Poecile carolinensis,10.25,10.92
Rynchops niger,299.5,20.25
Cardellina rubrifrons,9.8,3
Turdus fuscater,143.5,NA
Petrochelidon pyrrhonota,22.4,11.83
Histrionicus histrionicus,561.25,14.6
Fratercula cirrhata,775,6
Elanoides forficatus,442.63,NA
Junco phaeonotus,20.4,7
Xanthocephalus xanthocephalus,72.5,18
Passerina ciris,15.6,12
Passerina cyanea,14.7,11
Bucephala albeola,400,18.7
Vireo gilvus,13.1,13.1
Dives dives,95.4,NA
Aphelocoma californica,82.75,16.3
Toxostoma crissale,62.7,4.8
Helmitheros vermivorum,13.2,8.1
Piranga bidentata,37.19,NA
Recurvirostra americana,309.25,15
Ardea alba,873.5,22.83
Pelecanus erythrorhynchos,6129.5,54
Melospiza georgiana,16.58,7.75
Tyrannus savana,31.9,NA
Geranoaetus polyosoma,880,NA
Bubulcus ibis,372,23
Picoides borealis,48,16.1
Oreoscoptes montanus,44.23,NA
Clangula hyemalis,814,22.7
Aythya americana,1056.25,22.6
Antrostomus vociferus,53.7,15
Baeolophus bicolor,21.6,13.3
Nyctanassa violacea,682.5,6.3
Tyrannus tyrannus,40.13,11.1
Melanerpes carolinus,71.78,20.7
Vireo griseus,11.8,10.92
Protonotaria citrea,14.95,8.1
Dryocopus pileatus,303.88,13
Setophaga palmarum,10.25,6.6
Setophaga virens,9,6
Oporornis agilis,15.3,4.34
Ardea herodias,2388.67,24.5
Molothrus bonariensis,38.4,5
Empidonax sp.,NA,NA
Grus americana,6850,40
Sternula superciliaris,47.45,NA
Cistothorus platensis,8.55,NA
Mniotilta varia,10.9,12.25
Ammodramus nelsoni/caudacutus,NA,NA
Tangara larvata,20.25,NA
Poecile atricapillus,10.8,12.42
Laterallus jamaicensis,33.21,2.4
Myioborus miniatus,10,NA
Zonotrichia albicollis,25.35,14.92
Chlidonias niger,63,21
Botaurus lentiginosus,706,8.33
Egretta tricolor,321.95,17.7
Euphagus cyanocephalus,62.65,12.5
Pygochelidon cyanoleuca,NA,NA
Tyrannus dominicensis,46.78,NA
Setophaga tigrina,10.58,4.34
Himantopus mexicanus,169,19.1
Anas rubripes,1153.67,29.1
Setophaga striata,12.39,8.1
Charadrius nivosus,42.3,19
Chondrohierax uncinatus,288.75,NA
Cairina moschata,2228,NA
Branta canadensis,3984.5,42
Leucophaeus atricilla,308,22
Pitangus sulphuratus,61.92,NA
Arremon aurantiirostris,34.5,NA
Xenops minutus,10.2,NA
Colonia colonus,18,NA
Sialia sialis,29.65,10.5
Aramus guarauna,1085,NA
Setophaga cerulea,9.05,6
Salpinctes obsoletus,16.5,NA
Selasphorus platycercus,3.55,14
Sitta pygmaea,10.6,8.2
Cardellina pusilla,7.2,8.92
Heliomaster constantii,7.5,NA
Toxostoma lecontei,61.86,5.87
Contopus cinereus,11.6,NA
Larus hyperboreus,1605.5,21.08
Aythya collaris,730,20.42
Spizella atrogularis,11.6,NA
Picoides dorsalis,56.2,6
Falco peregrinus,827.25,25
Molothrus aeneus,62.9,6
Contopus sordidulus,12.85,8.1
Selasphorus calliope,2.63,7
Aeronautes saxatalis,31.95,10
Stercorarius parasiticus,450,31.1
Cygnus olor,10230,70
Empidonax flaviventris,11.85,5
Fregata magnificens,1462,34
Cepphus grylle,390.5,29.92
Megaceryle torquata,317,NA
Chloroceryle americana,33.87,5
Falco femoralis,338,12
Mergus merganser,1462.5,14.83
Sialia currucoides,29.6,9
Aechmophorus clarkii,1259.63,14
Podiceps nigricollis,380,13.08
Ammodramus henslowii,12.78,7
Phainopepla nitens,22.55,NA
Anas penelope,757,35.17
Larus sp.,NA,NA
Catharus fuscater,33.98,NA
Setophaga graciae,8.1,NA
Rhynchophanes mccownii,NA,NA
Ictinia mississippiensis,281,11.2
Setophaga discolor,7.65,10.34
Tyrannidae sp.,NA,NA
Campylorhynchus brunneicapillus,38.9,7.33
Peucaea cassinii,18.83,NA
Tyrannus forficatus,39.3,NA
Aechmophorus occidentalis,1314,14
Zenaida asiatica,153,25
Crotophaga major,157,NA
Lanius ludovicianus,47.23,12.5
Myiarchus tuberculifer,18.15,NA
Vireo cassinii,15.33,7.42
Vireo vicinior,12.8,6
Sterna dougallii,112,25.7
Fulmarus glacialis,785,51
Picoides scalaris,30.6,4.5
Falco rufigularis,167.25,NA
Sterninae sp.,NA,NA
Setophaga pensylvanica,9.6,6.92
Alle alle,160,25
Somateria spectabilis,1650,18.92
Falco deiroleucus,547.5,NA
Oenanthe oenanthe,23.78,10.08
Icterus bullockii,35.23,14
Strix nebulosa,1078.75,27
Callipepla squamata,191,NA
Columbina minuta,32.9,NA
Xiphorhynchus erythropygius,46.55,NA
Icterus pectoralis,47.25,11.6
Buteogallus solitarius,3000,NA
Brachyramphus marmoratus,222,10
Phalacrocorax penicillatus,2252,18
Gavia stellata,1603,23.7
Melanitta americana,1052.2,17.92
Oreothlypis luciae,NA,NA
Meleagris gallopavo,5811,13
Spinus psaltria,9.12,5.7
Saltator coerulescens,54.9,NA
Geotrygon montana,135,NA
Cypseloides cryptus,35.03,NA
Gelochelidon nilotica,220.5,16
Tigrisoma fasciatum,850,NA
Empidonax oberholseri,10.4,9
Picoides fumigatus,41.1,NA
Quiscalus mexicanus,168.7,12.5
Nomonyx dominicus,359.25,NA
Melanerpes formicivorus,79.05,17.25
Buteogallus urubitinga,1230,NA
Vireo flavoviridis,17.3,10.2
Haematopus bachmani,555,43.33
Pluvialis fulva,145.5,25.92
Thalasseus sandvicensis,208,30.8
Melanitta sp.,NA,NA
Sporophila corvina,11.88,NA
Thalasseus maximus,418.5,28.6
Chondestes grammacus,28.52,7.83
Anas acuta,872.25,27.42
Hirundinidae sp.,NA,NA
Tolmomyias sulphurescens,14.5,NA
Larus argentatus x glaucescens,NA,NA
Spizaetus tyrannus,1067.25,NA
Poecile rufescens,9.7,9.5
Aegolius funereus,131.5,15.9
Petrochelidon fulva,19.13,24
Gavia pacifica,2665,28
Elaenia frantzii,19.05,NA
Coccyzus minor,65.83,NA
Somateria mollissima,2092,37.8
Uria lomvia,964,29
Setophaga pitiayumi,6.9,NA
Sturnella magna,91.86,12.6
Buteo swainsoni,969.57,24.08
Artemisiospiza belli,18.1,NA
Calypte costae,3.12,9.17
Amblycercus holosericeus,64.65,NA
Sitta carolinensis,21,9.83
Piranga flava,38,NA
Crax rubra,4133,24
Amazilia saucerottei,4.5,NA
Corvus sp. (crow sp.),NA,NA
Sittasomus griseicapillus,12.8,NA
Tyrannus melancholicus,37.48,NA
Stelgidopteryx ruficollis,16,5.92
Myiarchus tyrannulus,36.56,11
Lepidocolaptes souleyetii,25.7,NA
Pyrilia haematotis,150.43,NA
Patagioenas nigrirostris,176,NA
Cyanerpes cyaneus,14,17
Spinus tristis,12.8,13
Cerorhinca monocerata,505,28.25
Chen canagica,2718,12
Vireo huttoni,11.3,13.5
Aimophila ruficeps,18.75,5.08
Leucophaeus pipixcan,280,9.42
Ara militaris,1134,46
Ammodramus nelsoni,16.83,10
Branta hutchinsii,3661.67,42
Branta leucopsis,1708.5,28.17
Patagioenas fasciata,352.5,29.2
Stercorarius sp. (jaeger sp.),NA,NA
Falco rusticolus,1415.75,13.5
Setophaga townsendi,8.85,10.67
Phalaropus fulicarius,55.9,6.08
Xema sabini,195,8.08
Contopus pertinax,27.2,7
Momotus coeruliceps,120,20.3
Icterus graduacauda,42.08,NA
Calidris acuminata,67.7,NA
Athene cunicularia,150.6,11
Rallus limicola,84.1,NA
Lampornis clemenciae,7.6,12
Trogon elegans,69.85,NA
Basileuterus rufifrons,10.9,NA
Heliomaster longirostris,6.84,NA
Ammodramus caudacutus,17.48,10
Sterna paradisaea,110,34
Sturnella neglecta/magna,NA,NA
Artemisiospiza nevadensis/belli,NA,NA
Progne chalybea,41.65,NA
Empidonomus varius,26.05,NA
Empidonax occidentalis,11,6.92
Volatinia jacarina,9.85,NA
Antrostomus carolinensis,115,14.83
Calidris virgata,NA,NA
Psarocolius angustifrons,187.75,NA
Tangara mexicana,20.78,NA
Saltator maximus,46.6,NA
Empidonax wrightii,12.45,NA
Elanus leucurus,311.65,6
Trogon violaceus,51.08,NA
Buteo nitidus,510.58,NA
Turdus chiguanco,95.4,NA
Campylopterus hemileucurus,10.68,NA
Colibri thalassinus,5.23,NA
Anhinga anhinga,1235,16.4
Toxostoma curvirostre,78.7,10.8
Psilorhinus morio,214,NA
Vireo pallens,11,NA
Melanerpes pygmaeus,43,NA
Chaetura cinereiventris,14.4,NA
Callipepla gambelii,169.25,7.42
Catharus bicknelli,29.65,11.92
Coereba flaveola,10,8.6
Quiscalus major,166,13.92
Larus thayeri,1012.63,49
Glaucidium gnoma,65.53,NA
Cyanocitta cristata,85.25,26.2
Larus schistisagus,1373,NA
Myiarchus nuttingi,28.08,11.92
Peucaea ruficauda,28.25,NA
Icterus mesomelas,40,NA
Leptotila cassinii,157.25,NA
Thryomanes bewickii,9.9,8
Tiaris olivaceus,8.35,NA
Carduelis carduelis,16,27
Phaethornis superciliosus,5.75,NA
Lanius excubitor,63.98,16.1
Phalaenoptilus nuttallii,48.93,3
Eumomota superciliosa,61.75,NA
Cyanocompsa parellina,15.75,NA
Psiloscops flammeolus,55.75,9
Amazilia tzacatl,5.05,7
Larus glaucescens,1010,32
Psarocolius montezuma,285.05,NA
Aphelocoma coerulescens,78.73,16.3
Nucifraga columbiana,130,17.42
Piranga leucoptera,16.65,NA
Calcarius ornatus,20.13,4
Psittacara leucophthalmus,162.5,NA
Thryophilus rufalbus,23.5,NA
Melozone leucotis,39.9,NA
Formicivora grisea,10.4,NA
Tangara guttata,18.4,NA
Euphonia laniirostris,15,NA
Buteo lagopus,945.5,18.8
Leptotila plumbeiceps,171,NA
Melanerpes pucherani,66,NA
Henicorhina leucosticta,14.8,NA
Leucosticte tephrocotis,32.6,24
Aythya fuligula,701.5,45.25
Larus dominicanus,989,13.08
Euphonia luteicapilla,13.1,NA
Pachyramphus polychopterus,21.6,NA
Patagioenas cayennensis,229.17,NA
Xiphorhynchus susurrans,47.75,NA
Pachysylvia decurtata,NA,NA
Dendrocincla homochroa,36.8,NA
Aegolius acadicus,95.63,17.5
Thraupis palmarum,38.25,NA
Cantorchilus modestus,18.45,NA
Turdus rufitorques,72,NA
Dendrocygna bicolor,743,11.17
Phaethornis striigularis,2.8,NA
Picidae sp.,NA,NA
Ammodramus bairdii,17.9,4.6
Amazona autumnalis,411.49,27
Pteroglossus torquatus,193.75,NA
Melanerpes hoffmannii,81.91,5.7
Turdus assimilis,62.1,NA
Eupsittula nana,78.2,NA
Sturnella neglecta,97.7,10
Passer domesticus,27.7,23
Mimus gilvus,55.47,NA
Empidonax difficilis,10.85,6.92
Dryocopus lineatus,198.83,NA
Myrmotherula axillaris,8.05,NA
Jacana spinosa,116.15,NA
Ramphocelus passerinii,32,NA
Myiozetetes similis,27.55,NA
Chloroceryle amazona,126.75,NA
Morus bassanus,2999.5,37.42
Picoides pubescens,27.5,11.92
Anas bahamensis,532.5,6.25
Amazilia edward,4.65,NA
Hylocharis leucotis,NA,NA
Phalacrocorax brasilianus,1275,12.6
Vireo bellii,8.55,9.08
Myrmotherula schisticolor,9.6,NA
Emberizidae sp. (sparrow sp.),NA,NA
Anthracothorax nigricollis,7.1,NA
Rallus obsoletus,NA,NA
Calamospiza melanocorys,37.4,4.83
Sphyrapicus nuchalis,50.3,7.75
Amazilia yucatanensis,3.86,11.17
Elaenia flavogaster,24.73,NA
Xiphorhynchus guttatus,59.7,NA
Accipitridae sp.,NA,NA
Amazona viridigenalis,319,NA
Surnia ulula,308.5,16.17
Picoides nuttallii,38,7.75
Polioptila albiloris,6.38,NA
Calypte anna,4.4,8.5
Brotogeris jugularis,65.38,NA
Sporophila funerea,NA,NA
Trogon caligatus,51.08,NA
Ortalis vetula,560,8.83
Milvago chimachima,323,NA
Atlapetes albinucha,33.5,NA
Ara severus,347,28.5
Tachycineta albiventer,17.5,NA
Onychoprion anaethetus,133.3,18
Hylocharis eliciae,3.7,NA
Spizaetus melanoleucus,807.5,NA
Calidris ptilocnemis,79.65,7.34
Larinae sp.,NA,NA
Vireo altiloquus,18.81,NA
Tachyphonus luctuosus,13.4,NA
Saltator striatipectus,38.88,NA
Charadrius collaris,28.3,NA
Myiodynastes luteiventris,46.9,NA
Catharus sp.,NA,NA
Pulsatrix perspicillata,861.5,25
Geranoaetus albicaudatus,889,6.5
Trochilidae sp.,NA,NA
Cinclodes fuscus,29.93,NA
Psittacara strenuus,178.09,22.5
Amazona amazonica,370,30
Anas platyrhynchos (Domestic type),NA,NA
Peucaea aestivalis,19.65,3.92
Pionus menstruus,251,20.6
Panyptila cayennensis,21.22,NA
Leptotila rufaxilla,154.33,NA
Cochlearius cochlearius,635.75,NA
Icterus gularis,57.2,NA
Geococcyx californianus,376,9
Formicarius analis,61.93,NA
Larus heermanni,500,24
Arremon brunneinucha,44.05,NA
Melanerpes aurifrons,81.91,5.7
Tympanuchus phasianellus,851,7.5
Falco mexicanus,754.5,20
Baeolophus inornatus,16.26,9
Melozone crissalis,47,12.83
Sicalis luteola,16.08,NA
Colaptes rubiginosus,56.2,NA
Calcarius pictus,26.4,5
Phaeochroa cuvierii,8.9,NA
Xenops rutilans,12.58,NA
Xiphocolaptes promeropirhynchus,114,NA
Baryphthengus martii,165.5,NA
Chlorophanes spiza,18.75,NA
Zimmerius vilissimus,9.25,NA
Jabiru mycteria,5470,36
Poecile hudsonicus,9.8,7
Vireo leucophrys,12.53,13.1
Pheucticus chrysopeplus,77.6,NA
Harpagus bidentatus,198.5,NA
Thraupis episcopus,35,9.5
Ixobrychus exilis,86.3,NA
Limosa lapponica,311.5,33.08
Icterus parisorum,36.35,6.42
Ixoreus naevius,79.23,5.6
Anthus spragueii,25.4,NA
Anatinae sp.,NA,NA
Cepphus columba,487,14
Streptoprocne zonaris,86.67,NA
Falco sp.,NA,NA
Ardea cocoi,1585,24.4
Pteroglossus castanotis,258.13,NA
Geothlypis poliocephala,14.8,NA
Egretta rufescens,613.75,22
Caracara cheriway,1118.25,37.6
Camptostoma obsoletum,8,NA
Vireo atricapilla,8.77,12
Sitta pusilla,10.28,5.8
Catherpes mexicanus,11.63,NA
Zonotrichia capensis,21,5
Passeriformes sp.,NA,NA
Perisoreus canadensis,71.1,19.2
Hylophilus flavipes,11.45,NA
Columbina picui,47,NA
Pachyramphus cinnamomeus,20.33,NA
Icterus pustulatus,36.13,NA
Tachornis squamata,10.3,NA
Spinus magellanicus,NA,NA
Piaya cayana,103.25,NA
Lophotriccus pileatus,7.1,NA
Spizella/Spizelloides sp.,NA,NA
Perdix perdix,405.5,6.92
Chlorospingus flavopectus,23.1,NA
Chaetura fumosa,17.17,NA
Morococcyx erythropygus,65.2,NA
Muscisaxicola cinereus,18.33,NA
Glyphorynchus spirurus,14.55,NA
Amazilia rutila,4.9,NA
Catharus frantzii,27.35,NA
Strix occidentalis,609.5,25
Buteo plagiatus,510.58,NA
Ibycter americanus,624,NA
Uria aalge,991.5,42.83
Myiopagis viridicata,12.91,NA
Myiozetetes granadensis,29.3,NA
Dacnis cayana,12.88,NA
Geranospiza caerulescens,303,NA
Falcipennis canadensis,456,13
Pseudastur albicollis,652,NA
Cyrtonyx montezumae,185.55,NA
Artemisiospiza nevadensis,18.1,5.75
Momotus momota,120,20.3
Melozone fusca,44.89,12.8
Empidonax fulvifrons,7.9,2
Agelaius tricolor,56.5,13.25
Setophaga kirtlandii,13.95,9
Glaucidium brasilianum,69.5,NA
Turdus plebejus,86.5,NA
Bubo virginianus,1377.25,29
Cathartes burrovianus,1046,NA
Pica nuttalli,154.05,10
Anas querquedula,334,19.75
Aramides axillaris,304.75,NA
Mesembrinibis cayennensis,756,NA
Amaurospiza concolor,13.3,NA
Patagioenas subvinacea,170,NA
Eupsittula canicularis,83.25,28.6
Icterus chrysater,53.63,NA
Parabuteo unicinctus,939.63,25
Nystalus striolatus,47,NA
Buteogallus meridionalis,808,NA
Arremonops rufivirgatus,22.83,8.25
Milvago chimango,296,NA
Calothorax lucifer,3.3,4.1
Cynanthus latirostris,3.3,8.8
Eucometis penicillata,28.88,NA
Lagopus lagopus,595,9
Fringilla montifringilla,22.93,14.8
Accipiter sp.,NA,NA
Dendrocygna autumnalis,826.5,8.2
Campylopterus curvipennis,6,NA
Tolmomyias flaviventris,12,NA
Colinus cristatus,136.5,NA
Campylorhynchus rufinucha,31.5,NA
Vanellus chilensis,339.25,NA
Lepidothrix coronata,8.23,NA
Spinus lawrencei,10.8,NA
Colibri coruscans,6.7,NA
Amazilia violiceps,5.1,NA
Lepidocolaptes duidae,NA,NA
Sterna sp.,NA,NA
Phaethornis guy,6.15,NA
Anser anser (Domestic type),NA,NA
Sicalis flaveola,17.93,NA
Empidonax flavescens,12.5,NA
Passerina versicolor,12.85,NA
Phalacrocorax pelagicus,1868,17.83
Streptopelia chinensis,NA,NA
Empidonax difficilis/occidentalis,NA,NA
Baeolophus wollweberi,10.4,6.6
Spizaetus ornatus,1214.75,NA
Tapera naevia,47.78,NA
Cyanerpes caeruleus,12,17
Habia rubica,32.55,NA
Polioptila melanura,5.18,NA
Baeolophus ridgwayi,16.4,8
Sphyrapicus thyroideus,48.73,NA
Aulacorhynchus prasinus,175.83,NA
Turdus rufopalliatus,75.55,NA
Ramphocaenus melanurus,9.7,NA
Plegadis falcinellus/chihi,NA,NA
Todirostrum cinereum,6.58,NA
Caracara plancus,1348,37.6
Patagioenas flavirostris,271,NA
Calidris pusilla/mauri,NA,NA
Florisuga mellivora,7.1,NA
Gymnogyps californianus,8800,45
Larus marinus,1658.5,29.17
Anas penelope x americana,NA,NA
Cyclarhis gujanensis,28.75,NA
Amazona ochrocephala,432.16,56
Phoenicopterus chilensis,2615,50
Amazona auropalliata,432.16,56
Dysithamnus mentalis,15.1,NA
Cantorchilus semibadius,23,NA
Tangara icterocephala,22,NA
Tigrisoma mexicanum,1160,NA
Pipilo chlorurus,29.27,7.7
Coturnicops noveboracensis,60.9,NA
Anas sp. (teal sp.),NA,NA
Tolmomyias assimilis,17,NA
Melanerpes cruentatus,58.3,NA
Ramphocelus sanguinolentus,44.75,NA
Chloroceryle aenea,14.85,NA
Dendrocincla anabatina,34.43,NA
Synthliboramphus antiquus,206,5
Daptrius ater,362.5,NA
Toxostoma bendirei,62.2,9.5
Basileuterus culicivorus,10.75,NA
Ramphastos tucanus,688.5,NA
Terenotriccus erythrurus,7.43,NA
Charadrius montanus,100.71,10
Turdus hauxwelli,69,NA
Sarcoramphus papa,3402.5,40
Picoides albolarvatus,61.1,NA
Phaethornis longirostris,6,NA
Setophaga chrysoparia,9.9,8
Cinclus mexicanus,55.9,7.25
Eugenes fulgens,8.1,11
Aimophila rufescens,33.93,NA
Campylorhynchus zonatus,34.25,NA
Accipiter striatus/cooperii,NA,NA
Ramphocelus costaricensis,32,NA
Leptopogon amaurocephalus,11.1,NA
Bucephala clangula/islandica,NA,NA
Melanerpes chrysauchen,57.55,NA
Capsiempis flaveola,7.4,NA
Melanerpes rubricapillus,52.45,NA
Strix varia,716.5,24
Eurypyga helias,222.75,15
Bolborhynchus lineola,54.91,NA
Picoides arizonae,44.05,NA
Puffinus opisthomelas,438.5,50.92
Trogon rufus,55.4,NA
Trogon massena,143,NA
Microrhopias quixensis,8.45,NA
Psittacara holochlorus,138,22.5
Leptotila verreauxi,147.5,8.6
Lipaugus unirufus,82,NA
Leucosticte atrata,27,8.58
Xiphorhynchus flavigaster,47.65,NA
Patagioenas speciosa,262,NA
Onychorhynchus coronatus,15.72,NA
Myioborus torquatus,10.5,NA
Tangara gyrola,22.3,NA
Anas fulvigula,1082,29.1
Microcerculus marginatus,17.5,NA
Lurocalis semitorquatus,76.75,NA
Nyctibius griseus,172.5,NA
Oreothlypis superciliosa,9,NA
Progne tapera,32,NA
Cyanocorax yncas,79.12,10.7
Cacicus uropygialis,60.55,NA
Psittacara mitratus,248,NA
Elaenia albiceps,15.55,NA
Streptoprocne rutila,20.6,NA
Sporophila torqueola,8.7,11.7
Baeolophus atricristatus,21.02,13.3
Chlorostilbon canivetii,2.73,NA
Psarocolius wagleri,154.58,NA
Jacana jacana,120.85,NA
Anas georgica,585.67,NA
Penelope purpurascens,2060,NA
Leptopogon superciliaris,11.33,NA
Antrostomus arizonae,54,15
Sphyrapicus ruber,51.45,7.75
Colaptes chrysoides,111,6.33
Oreortyx pictus,233,NA
Thryophilus pleurostictus,17.53,NA
Crypturellus cinnamomeus,423.25,NA
Atticora pileata,NA,NA
Pagophila eburnea,550,23.92
Toxostoma redivivum,84.4,6.92
Tigrisoma lineatum,813,NA
Rhodostethia rosea,187,NA
Melozone aberti,46.05,8.6
Tyrannus crassirostris,55.65,NA
Thryophilus sinaloa,14.43,NA
Heliothryx barroti,5.55,NA
Amazilia candida,3.78,NA
Attila spadiceus,39.1,NA
Chaetura brachyura,18.75,NA
Ramphastos vitellinus,361.5,NA
Cyanocorax melanocyaneus,101,NA
Phoenicopterus ruber,3043.5,44
Coryphospingus cucullatus,14.1,NA
Larus livens,1009.25,33.92
Icterus prosthemelas,32.25,NA
Icterus wagleri,41.65,NA
Tunchiornis ochraceiceps,NA,NA
Mionectes oleagineus,11.23,NA
Sphyrapicus sp.,NA,NA
Thamnophilus doliatus,27.05,NA
Tityra semifasciata,76.25,NA
Crypturellus soui,211.25,NA
Cyanocompsa cyanoides,30,NA
Lagopus leucura,351,15
Icterus cayanensis,41.73,NA
Anthracothorax prevostii,7,NA
Accipiter bicolor,345,NA
Turdus grayi,74,9.6
Ara ararauna,1125,43
Arenaria melanocephala,118.9,NA
Calidris ferruginea,59.6,19.7
Campephilus melanoleucos,254.5,NA
Mitrephanes phaeocercus,8.6,NA
Chiroxiphia linearis,17.9,NA
Pica hudsonia,189,21.7
Calocitta formosa,210,NA
Legatus leucophaius,22.5,NA
Thraupis abbas,46.45,NA
Alectoris chukar,535.5,6.2
Cygnus sp.,NA,NA
Polioptila plumbea,6.1,NA
Thamnophilus atrinucha,19.2,NA
Dendragapus fuliginosus,1059,14
Trogon viridis,87.1,NA
Ramphocelus carbo,27.69,9
Tachycineta albilinea,16.6,NA
Habia fuscicauda,38.48,NA
Turdus amaurochalinus,59.95,NA
Patagioenas plumbea,173.5,NA
Tympanuchus cupido,885.5,13.5
Myrmeciza exsul,26.38,10.67
Phaeomyias murina,10.32,NA
Psittacara finschi,168.91,NA
Euphonia affinis,10.65,NA
Tyrannus couchii,39,NA
Euphonia elegantissima,15.03,NA
Monasa nigrifrons,80.7,NA
Campephilus guatemalensis,262,NA
Basileuterus lachrymosus,16.5,NA
Turdus ignobilis,61,NA
Arremon torquatus,40.75,NA
Cacicus cela,87.99,NA
Donacobius atricapilla,37.5,NA
Dendragapus obscurus,1059,14
Melanerpes uropygialis,65,11
Zenaida auriculata,110.75,NA
Busarellus nigricollis,614,NA
Chelidoptera tenebrosa,35.25,NA
Megarynchus pitangua,63.5,NA
Calidris ruficollis,26.95,5.08
Galbula ruficauda,26.5,NA
Malacoptila panamensis,42.6,NA
Patagioenas leucocephala,247,14.42
Vireo plumbeus/cassinii/solitarius,NA,NA
Geothlypis aequinoctialis,13.33,NA
Synallaxis albescens,11.75,NA
Taraba major,59.2,NA
Pheugopedius maculipectus,15.03,NA
Monasa morphoeus,89.45,NA
Nyctidromus albicollis,54,NA
Geococcyx velox,181.75,NA
Dendrocygna viduata,674,15
Ptiliogonys cinereus,33.6,NA
Phaetusa simplex,239.25,NA
Basileuterus belli,10.6,NA
Tityra inquisitor,42.3,NA
Peucaea carpalis,15.3,NA
Gavia sp.,NA,NA
Myadestes occidentalis,49.9,NA
Peucedramus taeniatus,11,NA
Polioptila californica,5.75,8
Charadrius bicinctus,59.4,7.17
Gallinago paraguaiae,112.5,NA
Tersina viridis,30.4,NA
Opisthocomus hoazin,793,NA
Spinus notatus,NA,NA
Oncostoma cinereigulare,7.03,NA
Vanellus cayanus,NA,NA
Manacus candei,17.75,NA
Pheugopedius felix,12.2,NA
Turdus rufiventris,69.5,NA
Guira guira,138.5,NA
Machetornis rixosa,30.3,NA
Thraupis sayaca,32.5,NA
Centrocercus urophasianus,1930,7
Lipaugus vociferans,75.1,NA
Micrathene whitneyi,41,14
Toxostoma longirostre,67.65,7.83
Melanotis caerulescens,61.43,NA
Melanerpes chrysogenys,71,NA
Ceratopipra mentalis,NA,NA
Larus occidentalis x glaucescens,NA,NA
Furnarius rufus,45,NA
Patagioenas picazuro,292.5,NA
Chaetodipus penicillatus,15,9.3
Dipodomys deserti,108,8.6
Dipodomys merriami,37.6,9.7
Perognathus longimembris,8.08,8.3
Perognathus parvus,21.4,5.8
Neotoma lepida,144,10.5
Peromyscus boylii,23.9,2.16
Peromyscus crinitus,16.3,7.7
Peromyscus eremicus,22.7,7.4
Peromyscus maniculatus,20.1,8.3
Peromyscus spp.,NA,
Peromyscus truei,27,5.4
Chaetodipus formosus,19.5,7.1
Onychomys torridus,21.7,4.6
Ammospermophilus leucurus,104,11.2
Mus  musculus,18,4
Reithrodontomys megalotis,10.7,1.5
Sorex monticolus,6.78,1.5
Microtus longicaudus,44.8,1
Sorex cinereus,4.14,2
Chaetodipus baileyi,26.3,3
Chaetodipus intermedius,16.5,8.3
Neotoma albigula,208,6
Perognathus amplus,12,5.9
Dipodomys ordii,50.4,9.9
Peromyscus leucopus,18.1,7.9
Myodes gapperi,20.57,1.67
Tamias minimus,42.9,10
Dipodomys microps,56.3,0.41
Microtus pennsylvanicus,42.5,1.33
Blarina brevicauda,18.4,2.2
Sorex fumeus,7.72,1.42
Napaeozapus insignis,22.2,4
Reithrodontomys fulvescens,11.6,1.25
Onychomys leucogaster,27.9,5.6
Sigmodon hispidus,111,5.2
Zapus hudsonius,18.4,5.6
Tamias striatus,9.5,89.6
Chaetodipus hispidus,32,NA
Microtus pinetorum,26,3.8
Glaucomys volans,72,19
Sorex hoyi,3.28,0.91
Hyla versicolor,0.01315,NA
Pseudacris triseriata,1.00E-04,NA
Acris crepitans,3.00E-04,NA
Platymantis vitiensis,3.00E-04,NA
Rana sylvatica,0.00037,NA
Rana pipiens,0.0011,NA
Rana clamitans,0.00362,NA
Xenopus laevis,0.03237,NA
Rhinophrynus dorsalis,0.01657,NA
Cupiennius salei,NA,NA
Nephila clavipes,NA,NA
Ephebopus sp.,NA,NA
Phidippus regius,NA,NA
Zygiella x-notata,3.90E-05,NA
Zygiella x-notata,2.90E-05,NA
Mysmena sp.,1.00E-07,NA
Mysmenopsis tengellacompa,3.00E-07,NA
Anapisona simoni,8.00E-07,NA
Anapisona simoni,8.00E-07,NA
Faiditus elevatus,3.00E-06,NA
Faiditus elevatus,2.40E-06,NA
Faiditus sp.,2.70E-06,NA
Eustala illicita,1.40E-05,NA
Leucauge mariana,6.00E-05,NA
Leucauge mariana,2.00E-05,NA
Argiope argentata,0.00025,NA
Nephila clavipes,0.002,NA
Nephila clavipes,1.12E-05,NA
Eratigena atrica,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
Deinopis spinosa,NA,NA
