ID,Author,Year,Kingdom,Species,mcenter,sdcenter,ncenter,mperiphery,sdperiphery,nperiphery,Method,yi,vi
13,Pironon et al,2015,Plant,Polygonum viviparum,,NA,NA,NA,NA,NA,GD,0.4438095,0.0001
13,Pironon et al,2015,Plant,Plantago coronopus,,NA,NA,NA,NA,NA,GD,0.8219429,0.0001
13,Pironon et al,2015,Plant,Silene acaulis,,NA,NA,NA,NA,NA,GD,1.986,0.0001
14,Sheth and Angert,2018,Plant,Erythranthe cardinalis,,NA,NA,NA,NA,NA,GD,1.16,0.0001
14,Greiser et al. ,2020,Plant,Lathyrus vernus,,NA,NA,NA,NA,NA,GD,-0.294,0.0001
